Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),"Nitrogen, mixed forms (NH3)+(NH4)+organic+(NO2)+(NO3)",Salinity(ppt),Secchi Depth(m),Specific conductance,Temperature (deg cels),Turbidity(NTU),pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag,Julian Year
3/19/2008,1088-A,30,14,25.4508,85,37,13.0667,2.1,5.48,,14.61,0.25,22.6,20.23,4.8,7.29,25,26.11111111,27.77777778,23.88888889,20.55555556,20,17.77777778,17.77777778,2008.213552
7/17/2007,1088-A,30,14,25.4508,85,37,13.0667,7.1,5.25,,0.11,,0.234,25.35,10,6.97,32.77777778,31.11111111,32.22222222,33.33333333,35,32.77777778,32.77777778,32.77777778,2007.539357
8/30/2007,1088-A,30,14,25.4508,85,37,13.0667,1.1,4.26,,0.18,,0.381,25.77,6.2,7.21,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
1/16/2008,1088-B,30,14,24.936,85,37,47.172,8.5,2.75,,13.84,0.5,22.85,16.55,2.7,6.98,15,14.44444444,20,21.66666667,20.55555556,24.44444444,24.44444444,24.44444444,2008.041068
1/24/2008,1088-B,30,14,24.936,85,37,47.172,3.2,6.63,,17.1,,27.74,14.02,6.1,7.05,15,15.55555556,15,8.333333333,9.444444444,11.66666667,17.77777778,17.77777778,2008.062971
1/8/2008,1088-B,30,14,24.936,85,37,47.172,2.1,4.53,,17.97,,29.59,17.01,2.6,7.23,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,20.55555556,2008.019165
6/21/2007,1110-A,30,9,9.9864,85,33,26.6256,2.1,6.92,,23.13,0.75,36.87,32.63,4.7,7.6,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/17/2007,1110-A,30,9,9.9864,85,33,26.6256,3.2,5.39,,29.6,,46.03,33.06,2.9,7.65,32.77777778,31.11111111,32.22222222,33.33333333,35,32.77777778,32.77777778,32.77777778,2007.539357
7/6/2007,1110-A,30,9,9.9864,85,33,26.6256,1.1,5.64,,14.72,,24.36,28.27,3.3,6.98,32.22222222,30.55555556,31.11111111,32.77777778,33.88888889,33.33333333,33.33333333,33.88888889,2007.50924
8/30/2007,1110-A,30,9,9.9864,85,33,26.6256,1.1,7.19,,25.72,,40.71,36.05,2.5,7.61,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
