ACTIVITY_START_TS,WIN_MONITORING_LOC_ID,Lat,Long,Chlorophyll-a (ug/L),DO(mg/l),Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, Kjeldahl (mg/L)",Phosphorus as P (mg/L),Salinity(ppth),Salinity(emperical),Salinity(ppt),Specific Conductance(uS/cm),"Temperature, Water (deg C)",Turbidity(NTU),pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag,Julian Year
1/4/2022,14SEAS090,29.7348333,-85.331666,4.1,8.16,0.004,0.32,0.015,,31.1702,31.1702,52087,11,2.9,7.98,7.777777778,26.66666667,27.77777778,26.11111111,26.66666667,25.55555556,25,24.44444444,2022.008214
1/9/2023,14SEAS090,29.7348333,-85.331666,1.8,9.15,0.004,0.22,0.005,,29.9678,29.9678,50083,12.1,0.3,8.1,20.55555556,21.11111111,17.22222222,21.11111111,22.77777778,23.33333333,25,27.22222222,2023.021903
1/19/2021,14SEAS090,29.7348333,-85.331666,6,9.54,0.004,0.28,0.009,,27.3602,27.3602,45737,11.1,1.1,8.3,16.66666667,13.88888889,11.66666667,17.22222222,16.66666667,11.11111111,10,17.22222222,2021.049281
1/28/2020,14SEAS090,29.7348333,-85.331666,2.3,8.55,0.004,0.16,0.009,,27.194,27.194,45460,13,0.75,8.01,15.55555556,15,15.55555556,21.66666667,19.44444444,12.77777778,6.666666667,17.77777778,2020.073922
2/3/2021,14SEAS090,29.7348333,-85.331666,8.7,9.23,0.004,0.34,0.022,,27.4712,27.4712,45922,11.4,6,8.1,12.22222222,8.333333333,21.66666667,17.22222222,15.55555556,13.33333333,25,22.77777778,2021.090349
2/8/2022,14SEAS090,29.7348333,-85.331666,4.6,8.78,0.004,0.35,0.014,,31.2428,31.2428,52208,10.8,2.2,8.21,10,15.55555556,10,18.88888889,21.11111111,21.66666667,18.88888889,20,2022.104038
2/11/2020,14SEAS090,29.7348333,-85.331666,2.8,7.93,0.004,0.23,0.009,,30.1472,30.1472,50382,15.9,1.4,7.95,23.33333333,21.66666667,19.44444444,13.33333333,24.44444444,25,22.22222222,23.88888889,2020.112252
2/13/2023,14SEAS090,29.7348333,-85.331666,9.8,9.33,0.034,0.3,0.018,,24.479,24.479,40935,11.6,7.8,8,13.88888889,15,19.44444444,24.44444444,25,21.11111111,20.55555556,21.66666667,2023.117728
3/16/2020,14SEAS090,29.7348333,-85.331666,2.2,8.17,0.021,0.21,0.01,,21.7028,21.7028,36308,22.4,1.2,7.91,28.33333333,28.33333333,27.22222222,26.66666667,24.44444444,24.44444444,23.33333333,20.55555556,2020.205339
3/24/2022,14SEAS090,29.7348333,-85.331666,5.3,7.69,0.004,0.35,0.013,,30.8234,30.8234,51509,17.3,1.4,8.01,22.22222222,24.44444444,23.33333333,22.22222222,22.22222222,25.55555556,25,23.33333333,2022.224504
