Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),Cloud cover,"Depth, bottom",DO(mg/l),Fecal Coliform,"Nitrogen, Kjeldahl","Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N","Nitrogen, ammonia as N",Phosphorus as P,Salinity(ppt),Secchi Depth (m),Specific conductance,"Temperature, air",Temperature (deg cels),Total Suspended Solids (TSS),Turbidity(NTU),"Wind direction (direction from, expressed 0-360 deg)",Wind velocity,pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag
2/1/2009,33020019,30,32,49.8,87,11,39.2,1.6,25,0.75,9.39,33,0.52,0.2,0.076,0.032,2.75,0.75,5061,,12.07,7,7.5,,0,7.12,18.88888889,16.66666667,14.44444444,15.55555556,21.66666667,21.66666667,21.11111111,16.66666667
2/2/2003,33020019,30,32,49.8,87,11,39.2,6.4,0,,8.62,*Non-detect,0.8,0.05,0.02,0.021,17.9,,32840,5,12.31,12,7,,0,7.82,17.77777778,17.77777778,14.44444444,18.33333333,22.22222222,18.88888889,15.55555556,14.44444444
2/3/2008,33020019,30,32,49.8,87,11,39.2,0.9,30,1,,,0.37,0.12,0.016,0.026,0.07,0.75,150,,11.8,4,17,,0,6.63,,,,20,17.22222222,22.22222222,15.55555556,16.66666667
2/4/2007,33020019,30,32,49.8,87,11,39.2,5,40,,9.5,155,,0.18,0.02,0.014,0.66,0.75,1312,2,10.49,5,11,,0,6.81,12.77777778,7.222222222,11.11111111,20,15.55555556,11.11111111,9.444444444,13.33333333
5/3/2009,33020019,30,32,49.8,87,11,39.2,4,50,1,7.84,12,0.46,0.19,0.044,0.031,0.09,1,187,,24.61,8,9,180,5,7.16,28.88888889,28.33333333,27.22222222,27.77777778,,25.55555556,26.11111111,25.55555556
5/6/2007,33020019,30,32,49.8,87,11,39.2,5,100,,6.42,36,0.59,0.21,0.05,0.029,0.24,1,511,22,26.54,5,7,315,3,6.73,30,27.77777778,26.66666667,27.22222222,26.66666667,26.66666667,28.33333333,29.44444444
5/7/2006,33020019,30,32,49.8,87,11,39.2,5,40,,7.83,13,0.65,0.32,0.04,0.03,0.93,1,1848,27.5,26.73,5,7,225,4,7.92,,,,,,,,
8/2/2009,33020019,30,32,49.8,87,11,39.2,3.7,50,1.25,4.94,84,0.57,0.2,0.062,0.025,0.54,1,1118,,27.74,9,9.4,,0,7.24,33.33333333,32.22222222,31.66666667,32.77777778,32.22222222,31.66666667,32.22222222,32.77777778
8/3/2008,33020019,30,32,49.8,87,11,39.2,3.7,75,0.75,5.52,58,0.61,0.16,0.058,0.027,1.73,0.75,3329,,29.48,*Non-detect,4.4,,0,6.71,31.11111111,31.66666667,30.55555556,30.55555556,32.22222222,31.66666667,31.11111111,31.66666667
8/4/2002,33020019,30,32,49.8,87,11,39.2,6.4,50,,5.72,*Non-detect,*Non-detect,0.18,0.03,0.03,5.5,,8830,26.5,29.2,12,6,125,5,7.01,29.44444444,33.33333333,33.33333333,32.77777778,35,33.33333333,33.33333333,32.77777778
8/5/2007,33020019,30,32,49.8,87,11,39.2,5,5,,5.57,,0.61,0.18,0.062,0.025,3.19,1,5875,24,29.85,5,5,,0,7.08,32.22222222,31.11111111,32.77777778,31.66666667,31.11111111,32.22222222,33.33333333,32.22222222
11/2/2008,33020019,30,32,49.8,87,11,39.2,1.5,30,0.5,7.91,124,*Non-detect,0.26,0.056,0.022,8.66,0.5,14938,,15.59,10,3.3,,0,3.65,24.44444444,22.77777778,21.66666667,21.66666667,17.22222222,15.55555556,18.33333333,25.55555556
11/4/2007,33020019,30,32,49.8,87,11,39.2,5,0,,7.67,,0.51,0.21,0.075,0.021,5.97,1,10516,7,19.38,5,4,330,5,6.23,24.44444444,25,27.22222222,28.33333333,27.22222222,25.55555556,24.44444444,25.55555556
11/5/2006,33020019,30,32,49.8,87,11,39.2,5,75,,8.05,64,0.82,0.24,0.05,0.033,2.89,1,5340,10.7,16.66,6,6,90,3,6.97,,,,,,,,
11/6/2005,33020019,30,32,49.8,87,11,39.2,5,1,,7.88,350,0.23,0.35,0.03,0.027,4,1,7600,20,19.58,5,6,0,40,6.2,27.22222222,25.55555556,24.44444444,24.44444444,23.88888889,21.66666667,23.33333333,20
3/1/2009,33020048,30,28,16.4,87,12,48,1.1,75,,,691,0.19,1.2,0.023,0.013,0.04,,93,,16.96,4,2.5,315,6,6.4,14.44444444,23.33333333,22.77777778,22.22222222,20,16.11111111,16.66666667,16.66666667
3/2/2008,33020048,30,28,16.4,87,12,48,3.9,0,,9.2,222,0.21,0.97,0.02,0.022,0.05,,101,,17.06,9,6.4,,0,7.16,22.22222222,22.22222222,,13.33333333,11.66666667,21.66666667,20.55555556,17.77777778
3/4/2007,33020048,30,28,16.4,87,12,48,5,10,,8.86,250,,1.23,0.02,0.013,0.04,,92,7,16.1,5,5,0,14,7.12,12.77777778,20.55555556,17.77777778,22.77777778,21.66666667,24.44444444,20,25.55555556
3/5/2006,33020048,30,28,16.4,87,12,48,5,0,,8.74,230,0.21,1.41,0.02,0.011,0.04,,91,11.2,17.09,5,3,,0,6.5,,,,,,,,
3/7/2004,33020048,30,28,16.4,87,12,48,5,20,,6.8,30,0.4,0.34,0.06,0.013,0,,97,19,19.2,5,3,0,,6.02,23.88888889,20,22.22222222,22.22222222,22.22222222,21.66666667,21.11111111,
6/3/2007,33020048,30,28,16.4,87,12,48,5,20,,7.54,,0.25,1.6,0.012,0.02,0.03,,71,21,21.36,5,2,,0,8.01,30.55555556,32.77777778,28.33333333,27.77777778,26.66666667,28.88888889,28.88888889,28.33333333
6/4/2006,33020048,30,28,16.4,87,12,48,5,0,,7.84,400,0.16,1.61,0.02,0.016,0.04,,86,20.5,21.54,5,2,350,5,5.96,,,,,,,,
6/6/2005,33020048,30,28,16.4,87,12,48,5,30,,6.9,220,0.21,1.16,0.07,0.008,0,,182,26,23.44,5,4,,0,6.25,29.44444444,28.88888889,28.88888889,29.44444444,29.44444444,27.77777778,26.11111111,29.44444444
9/7/2008,33020048,30,28,16.4,87,12,48,1.8,0,,7.76,246,0.33,1.2,0.021,0.028,0.05,,103,,23.97,4,3.6,,0,6.34,31.66666667,31.11111111,30,31.11111111,29.44444444,30.55555556,28.88888889,31.66666667
