Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),Fecal Coliform (cfu/100ml),"Nitrogen, Kjeldahl (mg/L)",Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, ammonia (NH3) as NH3 (mg/L)","Nitrogen, ammonia as N (mg/L)",Oxidation reduction potential (ORP) (mV),Phosphorus as P (mg/L),"Phosphorus, orthophosphate as P(mg/L)","Phosphorus, orthophosphate as PO4 (mg/L)","Phosphorus, phosphate (PO4) as P(mg/L)",Salinity(ppt),Secchi Depth(m),Specific conductance(umho/cm),"Temperature, air deg C",Temperature (deg cels),Turbidity(NTU),"Wind direction (direction from, expressed 0-360 deg)",Wind velocity,pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag
1/18/2017,33010006,30,27,0,87,23,21,4.2,7.2,,0.29,0.24,,0.006,,0.012,0.004,,,0.5,1.5,1022,,16.5,2.9,,,6.6,,,,,,,,
7/11/2016,33010006,30,27,0,87,23,21,15,4,,0.43,0.073,,0.005,,0.02,*Non-detect,,,5.1,1.7,6054,,30.1,2.2,,,6.7,,,,,,,,
9/26/2016,33010006,30,27,0,87,23,21,9.4,1.9,,0.4,0.1,,0.003,,0.021,*Non-detect,,,5.8,1,11101,,31,2.3,,,6.4,,,,,,,,
10/24/2016,33010006,30,27,0,87,23,21,13,4.1,,0.54,0.006,,0.003,,0.021,*Non-detect,,,18.1,0.7,29697,,23.5,3.9,,,7.4,,,,,,,,
10/29/2015,33010006,30,27,0,87,23,21,2.5,5.9,182,0.54,0.17,,*Non-detect,,0.025,*Non-detect,,,7.6,0.8,15581,,23.3,4.8,,,6.9,,,,,,,,
11/15/2016,33010006,30,27,0,87,23,21,9.1,4.6,,0.47,0.01,,0.005,,0.017,*Non-detect,,,19,1.1,30658,,23.1,2.3,,,7.7,,,,,,,,
2/24/2010,33010036,30,26,1.9,87,19,25.96,1.7,9.09,40,0.29,0.54,,*Non-detect,,0.009,*Non-detect,,,0.02,0.673,38,7.79,12.49,2.8,,0,7.79,10.55555556,16.11111111,18.88888889,18.33333333,17.77777778,16.11111111,15,13.33333333
3/2/2008,33010036,30,26,1.9,87,19,25.96,8.1,0.3,62,0.28,0.34,,0.013,,0.015,,,,0.03,0.5,63,,15.58,4.4,360,2,6.79,22.22222222,22.22222222,,13.33333333,11.66666667,21.66666667,20.55555556,17.77777778
3/4/2007,33010036,30,26,1.9,87,19,25.96,5,8.61,127,,0.42,,0.02,,0.012,,,,0.03,,68,9,14.52,1,340,10,7.2,12.77777778,20.55555556,17.77777778,22.77777778,21.66666667,24.44444444,20,25.55555556
3/5/2006,33010036,30,26,1.9,87,19,25.96,5,8.07,18,0.16,0.76,,0.02,,0.012,,,,0.03,,64,16.7,15.7,1,,0,6.48,,,,,,,,
3/7/2004,33010036,30,26,1.9,87,19,25.96,5,6.62,120,0.31,0.27,,0.02,220,0.009,,,,0,,68,21,18,3,0,,5.8,23.88888889,20,22.22222222,22.22222222,22.22222222,21.66666667,21.11111111,
6/3/2007,33010036,30,26,1.9,87,19,25.96,5,4.85,,0.44,0.29,,0.01,,0.02,,,,0.03,,61,25,23.75,3,310,2,6.93,30.55555556,32.77777778,28.33333333,27.77777778,26.66666667,28.88888889,28.88888889,28.33333333
6/4/2006,33010036,30,26,1.9,87,19,25.96,5,5.37,45,0.19,0.37,,0.02,,0.016,,,,0.03,,68,23,24.67,3,,0,5.92,,,,,,,,
6/6/2005,33010036,30,26,1.9,87,19,25.96,5,4.65,45,0.4,0.33,,0.03,,0.017,,,,0,,162,28,25.93,2,,0,6.44,29.44444444,28.88888889,28.88888889,29.44444444,29.44444444,27.77777778,26.11111111,29.44444444
6/7/2009,33010036,30,26,1.9,87,19,25.96,4.6,14.11,78,0.44,0.19,,0.022,,0.02,,,,0.03,,64,25,23.3,3.5,,0,6.71,30.55555556,29.44444444,30.55555556,29.44444444,26.66666667,30.55555556,32.77777778,31.66666667
9/7/2008,33010036,30,26,1.9,87,19,25.96,7.6,4.36,600,0.57,0.24,,0.016,,0.023,,,,0.03,,67,,25.95,2.3,,0,5.86,31.66666667,31.11111111,30,31.11111111,29.44444444,30.55555556,28.88888889,31.66666667
9/9/2007,33010036,30,26,1.9,87,19,25.96,5,5.1,,0.2,0.36,,0.021,,0.02,,,,0.03,1,69,23,24.83,2,,0,6.89,31.66666667,30.55555556,30.55555556,30.55555556,32.77777778,31.11111111,30,31.11111111
9/10/2006,33010036,30,26,1.9,87,19,25.96,5,5.37,240,0.22,0.38,,0.02,,0.013,,,,0.03,,65,24.5,25.05,2,,0,6.28,,,,,,,,
9/11/2005,33010036,30,26,1.9,87,19,25.96,5,4,173,0.12,0.35,,0.04,,0.023,,,,0,,165,26,24.1,6,360,1,6.64,30.55555556,30.55555556,32.22222222,32.22222222,32.22222222,31.66666667,31.66666667,30.55555556
12/2/2007,33010036,30,26,1.9,87,19,25.96,5,7.69,,0.29,0.47,,0.016,,0.02,,,,0.03,0.5,68,22,17.02,4,165,4,7.69,24.44444444,21.66666667,22.22222222,22.77777778,18.33333333,18.33333333,22.22222222,22.77777778
12/3/2006,33010036,30,26,1.9,87,19,25.96,5,8.67,330,0.1,0.59,,0.02,,0.01,,,,0.03,,64,7.5,13.65,1,15,3,6.63,,,,,,,,
12/4/2005,33010036,30,26,1.9,87,19,25.96,5,7.13,118,0.16,0.46,,0.02,,0.017,,,,0.03,1,67,21,17.53,2,,,6.55,24.44444444,22.77777778,16.11111111,17.77777778,24.44444444,30,27.22222222,22.22222222
12/5/2004,33010036,30,26,1.9,87,19,25.96,5,6.7,18,0.27,0.46,,0.02,,0.014,,,,0,,184,15,16.2,1,20,5,6.49,19.44444444,15,15,16.11111111,13.88888889,27.77777778,18.88888889,19.44444444
12/7/2008,33010036,30,26,1.9,87,19,25.96,7.4,9.36,280,1.1,0.37,,0.017,,0.11,,,,0.03,,64,,12.19,21,60,5,6.23,15,16.66666667,15.55555556,22.77777778,20.55555556,11.66666667,15,17.77777778
3/8/2010,33010078,30,24,6.8,87,22,29.9,1.1,8.54,31,0.33,0.29,,0.047,,0.012,0.006,,,0.04,0.79,90,20.6,12.19,3.2,,,6.26,18.88888889,18.33333333,16.11111111,17.77777778,15.55555556,15,9.444444444,17.77777778
4/19/2010,33010078,30,24,6.8,87,22,29.9,10,6.11,112,0.37,0.18,,0.047,,0.029,*Non-detect,,,3.54,0.9,6462,21.1,23.19,2.7,180,3,6.71,28.88888889,27.77777778,26.66666667,25.55555556,24.44444444,25.55555556,25.55555556,25.55555556
4/26/2010,33010078,30,24,6.8,87,22,29.9,2.7,6.22,237,0.43,0.17,,0.071,,0.016,*Non-detect,,,5.69,1,10031,22.8,23.29,3.3,,,6.57,,27.22222222,24.44444444,26.11111111,25.55555556,25.55555556,25.55555556,28.88888889
5/17/2010,33010078,30,24,6.8,87,22,29.9,2.6,2.89,600,0.42,0.087,,0.038,,0.027,0.005,,,5.52,1,9840,24.4,26.32,3.4,45,4,6.7,30.55555556,25,28.33333333,28.33333333,27.77777778,27.77777778,27.22222222,26.66666667
5/24/2010,33010078,30,24,6.8,87,22,29.9,4.2,5.49,50,0.37,0.04,,0.019,,0.018,*Non-detect,,,2.55,1.166,4798,32,29.11,1.4,,0,6.83,35,32.77777778,30.55555556,30,29.44444444,28.88888889,30.55555556,30.55555556
7/12/2010,33010078,30,24,6.8,87,22,29.9,2.1,3.5,650,0.58,0.08,,,,0.019,*Non-detect,,,7.04,0.5,12375,27.1,30.56,2.6,183,7,6.84,33.33333333,33.33333333,33.88888889,33.33333333,32.77777778,31.11111111,29.44444444,28.88888889
8/2/2010,33010078,30,24,6.8,87,22,29.9,4.7,5.35,1240,0.52,0.058,,0.056,,0.013,*Non-detect,,,7.96,0.791,13939,30.6,33.59,1.8,,0,7.02,36.66666667,37.77777778,37.77777778,37.22222222,35.55555556,35.55555556,33.33333333,32.77777778
9/7/2010,33010078,30,24,6.8,87,22,29.9,4.5,4,460,0.78,0.092,,0.1,,0.03,*Non-detect,,,5.81,0.9,10324,28.3,28.26,2.8,250,2.1,6.66,31.11111111,31.11111111,30.55555556,32.22222222,32.77777778,31.66666667,30,30
9/21/2010,33010078,30,24,6.8,87,22,29.9,40,2.7,271,0.6,0.059,,0.045,,0.046,*Non-detect,,,11.64,0.75,19689,27.7,30.64,4.2,90,2,6.66,32.22222222,33.33333333,31.66666667,32.77777778,32.22222222,31.66666667,31.66666667,32.22222222
10/25/2010,33010078,30,24,6.8,87,22,29.9,36,4.8,1070,0.52,0.056,,0.034,,0.043,0.015,,,17.98,1.028,29112,26.1,24.51,3.6,173,8,7.22,29.44444444,28.33333333,27.77777778,28.88888889,26.66666667,28.88888889,28.88888889,27.22222222
11/22/2010,33010078,30,24,6.8,87,22,29.9,1.5,4.41,470,0.29,0.17,,0.036,,0.011,*Non-detect,,,10.74,0.523,17995,21.11,20.38,1.9,,0,6.68,26.66666667,23.88888889,24.44444444,22.22222222,22.22222222,20,23.33333333,24.44444444
3/2/2008,33010082,30,21,8.2,87,24,10.7,0.55,6.4,16,0.34,0.004,,0.05,,0.004,,,,8.94,1.25,15270,,14.6,2.9,345,1.5,5.91,22.22222222,22.22222222,,13.33333333,11.66666667,21.66666667,20.55555556,17.77777778
3/4/2007,33010082,30,21,8.2,87,24,10.7,5,3.75,18,,0.01,,0.02,,0.005,,,,22.03,1.25,34950,9,17.09,1,340,8,6.28,12.77777778,20.55555556,17.77777778,22.77777778,21.66666667,24.44444444,20,25.55555556
3/5/2006,33010082,30,21,8.2,87,24,10.7,5,3.55,127,0.64,0.01,,0.02,,0.008,,,,16.33,1.25,26500,17.7,18.37,1,,0,6.65,,,,,,,,
