station_code,lat,lon,DateTimeStamp,Historical,ProvisionalPlus,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,Chlorophyll-a (ug/L),F_CHLA_N,Unnamed: 20,Date
apacpnut  ,29.6079,-85.0196,4/2/2002 11:55,1,1,1,1,,0.004,<4>  ,0.027,<4>  ,0.002,<4>  ,0.048,<4>  C                   ,0.05,<4>  ,1.8,<4>  ,,4/2/2002
apacpnut  ,29.6079,-85.0196,4/2/2002 11:56,1,1,1,2,,0.004,<4>  ,0.029,<4>  ,0.002,<4>  ,0.046,<4>  C                   ,0.048,<4>  ,1.8,<4>  ,,4/2/2002
apacpnut  ,29.6079,-85.0196,4/30/2002 11:15,1,1,1,2,,0.014,<4>  ,0.126,<4>  ,0.005,<4>  ,0.127,<4>  C                   ,0.132,<4>  ,1.5,<4>  ,,4/30/2002
apacpnut  ,29.6079,-85.0196,4/30/2002 11:15,1,1,1,1,,0.014,<4>  ,0.138,<4>  ,0.005,<4>  ,0.115,<4>  C                   ,0.12,<4>  ,1.2,<4>  ,,4/30/2002
apacpnut  ,29.6079,-85.0196,6/4/2002 11:03,1,1,1,2,,0.008,<4>  ,0.052,<4>  ,0.002,<4>  ,0.026,<4>  C                   ,0.028,<4>  ,2.6,<4>  ,,6/4/2002
apacpnut  ,29.6079,-85.0196,6/4/2002 11:03,1,1,1,1,,0.006,<4>  ,0.049,<4>  ,0.002,<4>  ,0.024,<4>  C                   ,0.026,<4>  ,3.4,<4>  ,,6/4/2002
apacpnut  ,29.6079,-85.0196,7/2/2002 9:53,1,1,1,1,,0.014,<4>  ,0.083,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.039,<4>  ,3.7,<4>  ,,7/2/2002
apacpnut  ,29.6079,-85.0196,7/2/2002 9:55,1,1,1,2,,0.017,<4>  ,0.093,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.04,<4>  ,3,<4>  ,,7/2/2002
apacpnut  ,29.6079,-85.0196,8/6/2002 12:13,1,1,1,2,,0.01,<4>  ,0.034,<4>  ,0.003,<4>  ,0.037,<4>  C                   ,0.04,<4>  ,10,<4>  ,,8/6/2002
apacpnut  ,29.6079,-85.0196,8/6/2002 12:13,1,1,1,1,,0.011,<4>  ,0.04,<4>  ,0.003,<4>  ,0.036,<4>  C                   ,0.039,<4>  ,7.8,<4>  ,,8/6/2002
apacpnut  ,29.6079,-85.0196,9/10/2002 9:00,1,1,1,2,,0.024,<4>  ,0.038,<4>  ,0.003,<4>  ,0.015,<4>  C                   ,0.018,<4>  ,0.8,<4>  ,,9/10/2002
apacpnut  ,29.6079,-85.0196,9/10/2002 9:00,1,1,1,1,,0.026,<4>  ,0.039,<4>  ,0.003,<4>  ,0.013,<4>  C                   ,0.016,<4>  ,0.8,<4>  ,,9/10/2002
apacpnut  ,29.6079,-85.0196,10/8/2002 8:55,1,1,1,1,,0.009,<4>  ,0.036,<4>  ,0.009,<4>  ,0.02,<4>  C                   ,0.029,<4>  ,2.6,<4>  ,,10/8/2002
apacpnut  ,29.6079,-85.0196,10/8/2002 8:57,1,1,1,2,,0.01,<4>  ,0.037,<4>  ,0.009,<4>  ,0.019,<4>  C                   ,0.028,<4>  ,2.1,<4>  ,,10/8/2002
apacpnut  ,29.6079,-85.0196,11/4/2002 10:05,1,1,1,1,,0.007,<4>  ,0.06,<4>  ,0.005,<4>  ,0.101,<4>  C                   ,0.106,<4>  ,3.4,<4>  ,,11/4/2002
apacpnut  ,29.6079,-85.0196,11/4/2002 10:06,1,1,1,2,,0.006,<4>  ,0.062,<4>  ,0.006,<4>  ,0.093,<4>  C                   ,0.099,<4>  ,4,<4>  ,,11/4/2002
apacpnut  ,29.6079,-85.0196,12/2/2002 12:10,1,1,1,1,,0.011,<4>  ,0.065,<4>  ,0.004,<4>  ,0.11,<4>  C                   ,0.114,<4>  ,2.6,<4>  ,,12/2/2002
apacpnut  ,29.6079,-85.0196,12/2/2002 12:11,1,1,1,2,,0.01,<4>  ,0.057,<4>  ,0.004,<4>  ,0.109,<4>  C                   ,0.113,<4>  ,2.1,<4>  ,,12/2/2002
apacpnut  ,29.6079,-85.0196,1/6/2003 10:30,1,1,1,1,,0.014,<4>  ,0.114,<4>  ,0.003,<4>  ,0.239,<4>  C                   ,0.242,<4>  ,12.816,<4>  ,,1/6/2003
apacpnut  ,29.6079,-85.0196,1/6/2003 10:32,1,1,1,2,,0.014,<4>  ,0.36,<4>  ,0.003,<4>  ,0.235,<4>  C                   ,0.238,<4>  ,13.67,<4>  ,,1/6/2003
apacpnut  ,29.6079,-85.0196,2/3/2003 11:10,1,1,1,1,,0.004,<4>  ,0.035,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.085,<4>  ,15.379,<4>  ,,2/3/2003
apacpnut  ,29.6079,-85.0196,2/3/2003 11:12,1,1,1,2,,0.004,<4>  ,0.04,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.106,<4>  ,14.525,<4>  ,,2/3/2003
apacpnut  ,29.6079,-85.0196,3/3/2003 10:20,1,1,1,1,,0.016,<4>  ,0.059,<4>  ,0.007,<4>  ,0.127,<4>  C                   ,0.134,<4>  ,7.69,<4>  ,,3/3/2003
apacpnut  ,29.6079,-85.0196,3/3/2003 10:22,1,1,1,2,,0.014,<4>  ,0.064,<4>  ,0.005,<4>  ,0.131,<4>  C                   ,0.136,<4>  ,8.117,<4>  ,,3/3/2003
apacpnut  ,29.6079,-85.0196,4/8/2003 8:30,1,1,1,1,,0.025,<4>  ,0.159,<4>  ,0.005,<4>  ,0.174,<4>  C                   ,0.179,<4>  ,2.99,<4>  ,,4/8/2003
apacpnut  ,29.6079,-85.0196,4/8/2003 8:30,1,1,1,2,,0.021,<4>  ,0.141,<4>  ,0.005,<4>  ,0.176,<4>  C                   ,0.181,<4>  ,2.99,<4>  ,,4/8/2003
apacpnut  ,29.6079,-85.0196,5/6/2003 9:48,1,1,1,1,,0.004,<4>  ,0.054,<4>  ,0.007,<4>  ,0.246,<4>  C                   ,0.253,<4>  ,7.049,<4>  ,,5/6/2003
apacpnut  ,29.6079,-85.0196,5/6/2003 9:50,1,1,1,2,,0.003,<4>  ,0.06,<4>  ,0.007,<4>  ,0.212,<4>  C                   ,0.219,<4>  ,5.126,<4>  ,,5/6/2003
apacpnut  ,29.6079,-85.0196,6/2/2003 10:15,1,1,1,1,,0.004,<4>  ,0.052,<4>  ,0.009,<4>  ,0.219,<4>  C                   ,0.228,<4>  ,4.699,<4>  ,,6/2/2003
